id,source_lat,source_long,target_lat,target_long,source,target,distance,slope,geometry,nearby_features,elevation_diff,is_uphill,across
1829,37.4034206,127.1155907,37.4033192,127.1153855,4297272546,4297377186,21.346,0.0,,none,0.0,False,0
1830,37.4034206,127.1155907,37.4042302,127.1148584,4297272546,4297272544,110.853,16.23772022408054,"LINESTRING (127.1155907 37.4034206, 127.1152271 37.4038218, 127.1148584 37.4042302)",park: 어린이공원,18.0,True,0
1831,37.4038634,127.1165534,37.4038069,127.1164131,4297272547,11918729032,13.894,0.0,,none,0.0,False,0
1832,37.4064439,127.1137212,37.4066144,127.1143917,4297272565,4297272568,62.233,0.0,"LINESTRING (127.1137212 37.4064439, 127.1138982 37.4064993, 127.1141342 37.4065547, 127.1143917 37.4066144)",none,0.0,False,0
1833,37.4064439,127.1137212,37.4059977,127.1132759,4297272565,4297272587,65.499,2.6128364457169098,"LINESTRING (127.1137212 37.4064439, 127.1135549 37.4063544, 127.1134476 37.4062777, 127.1133671 37.406184, 127.1133027 37.406086, 127.1132759 37.4059977)",none,13.0,True,0
1834,37.4064439,127.1137212,37.4067976,127.1135388,4297272565,4297272582,48.23,0.0,"LINESTRING (127.1137212 37.4064439, 127.1135817 37.4065547, 127.113512 37.4066229, 127.1134798 37.4066783, 127.1135388 37.4067976)",none,0.0,False,0
1835,37.4066144,127.1143917,37.4069179,127.1142779,4297272568,4297272584,35.213,0.0,,none,0.0,False,0
1836,37.4066144,127.1143917,37.406669,127.1164019,4297272568,4295438195,178.348,-0.5607015497790835,"LINESTRING (127.1143917 37.4066144, 127.1147029 37.4066698, 127.1149121 37.4066868, 127.1154414 37.4066789, 127.1164019 37.406669)",none,-1.0,False,0
1837,37.4066144,127.1143917,37.4064439,127.1137212,4297272568,4297272565,62.233,0.0,"LINESTRING (127.1143917 37.4066144, 127.1141342 37.4065547, 127.1138982 37.4064993, 127.1137212 37.4064439)",none,0.0,False,0
1838,37.4067976,127.1135388,37.4068956,127.1132491,4297272582,4297272586,27.812,0.0,,none,0.0,False,0
